# name	type	description
@animate-ui/icons-chart-bar	ui	Chart bar icon component.
@animate-ui/icons-chart-bar-decreasing	ui	Chart bar decreasing icon component.
@animate-ui/icons-chart-bar-increasing	ui	Chart bar increasing icon component.
@animate-ui/icons-chart-column	ui	Chart column icon component.
@animate-ui/icons-chart-column-decreasing	ui	Chart column decreasing icon component.
@animate-ui/icons-chart-column-increasing	ui	Chart column increasing icon component.
@animate-ui/icons-chart-line	ui	Chart line icon component.
@animate-ui/icons-chart-no-axes-column	ui	Chart no axes column icon component.
@animate-ui/icons-chart-no-axes-column-decreasing	ui	Chart no axes column decreasing icon component.
@animate-ui/icons-chart-no-axes-column-increasing	ui	Chart no axes column increasing icon component.
@animate-ui/icons-chart-scatter	ui	Chart scatter icon component.
@animate-ui/icons-chart-spline	ui	Chart spline icon component.
@animate-ui/icons-check	ui	Check icon component.
@animate-ui/icons-check-check	ui	Check check icon component.
@animate-ui/icons-check-line	ui	Check line icon component.
@animate-ui/icons-cherry	ui	Cherry icon component.
@animate-ui/icons-chevron-down	ui	Chevron down icon component.
@animate-ui/icons-chevron-left	ui	Chevron left icon component.
@animate-ui/icons-chevron-left-right	ui	Chevron left right icon component.
@animate-ui/icons-chevron-right	ui	Chevron right icon component.
@animate-ui/icons-chevron-up	ui	Chevron up icon component.
@animate-ui/icons-chevron-up-down	ui	Chevron up down icon component.
@animate-ui/icons-circle-check	ui	Circle check icon component.
@animate-ui/icons-circle-check-big	ui	Circle check big icon component.
@animate-ui/icons-circle-plus	ui	Circle plus icon component.
@animate-ui/icons-circle-x	ui	Circle x icon component.
@animate-ui/icons-circuit-board	ui	Circuit Board icon component.
@animate-ui/icons-clapperboard	ui	Clapperboard icon component.
@animate-ui/icons-clipboard	ui	Clipboard icon component.
@animate-ui/icons-clipboard-check	ui	Clipboard Check icon component.
@animate-ui/icons-clipboard-list	ui	Clipboard List icon component.
@animate-ui/icons-clock	ui	Clock icon component.
@animate-ui/icons-clock-1	ui	Clock 1 icon component.
@animate-ui/icons-clock-10	ui	Clock 10 icon component.
@animate-ui/icons-clock-11	ui	Clock 11 icon component.
@animate-ui/icons-clock-12	ui	Clock 12 icon component.
@animate-ui/icons-clock-2	ui	Clock 2 icon component.
@animate-ui/icons-clock-3	ui	Clock 3 icon component.
@animate-ui/icons-clock-4	ui	Clock 4 icon component.
@animate-ui/icons-clock-5	ui	Clock 5 icon component.
@animate-ui/icons-clock-6	ui	Clock 6 icon component.
@animate-ui/icons-clock-7	ui	Clock 7 icon component.
@animate-ui/icons-clock-8	ui	Clock 8 icon component.
@animate-ui/icons-clock-9	ui	Clock 9 icon component.
@animate-ui/icons-cloud-download	ui	Cloud download icon component.
@animate-ui/icons-cloud-drizzle	ui	Cloud drizzle icon component.
@animate-ui/icons-cloud-hail	ui	Cloud hail icon component.
@animate-ui/icons-cloud-lightning	ui	Cloud lightning icon component.
@animate-ui/icons-cloud-moon	ui	Cloud moon icon component.
@animate-ui/icons-cloud-moon-rain	ui	Cloud moon rain icon component.
@animate-ui/icons-cloud-rain	ui	Cloud rain icon component.
@animate-ui/icons-cloud-rain-wind	ui	Cloud rain wind icon component.
@animate-ui/icons-cloud-snow	ui	Cloud snow icon component.
@animate-ui/icons-cloud-sun	ui	Cloud sun icon component.
@animate-ui/icons-cloud-sun-rain	ui	Cloud sun rain icon component.
@animate-ui/icons-cloud-upload	ui	Cloud upload icon component.
@animate-ui/icons-cog	ui	Cog icon component.
@animate-ui/icons-compass	ui	Compass icon component.
@animate-ui/icons-contrast	ui	Contrast icon component.
@animate-ui/icons-copy	ui	Copy icon component.
@animate-ui/icons-crop	ui	Crop icon component.
@animate-ui/icons-cross	ui	Cross icon component.
@animate-ui/icons-disc-3	ui	Disc 3 icon component.
@animate-ui/icons-download	ui	Download icon component.
@animate-ui/icons-ellipsis	ui	Ellipsis icon component.
@animate-ui/icons-ellipsis-vertical	ui	Ellipsis vertical icon component.
@animate-ui/icons-equal-not	ui	Equal not icon component.
@animate-ui/icons-ev-charger	ui	EV Charger icon component.
@animate-ui/icons-expand	ui	Expand icon component.
@animate-ui/icons-external-link	ui	External link icon component.
@animate-ui/icons-fan	ui	Fan icon component.
@animate-ui/icons-fingerprint	ui	Fingerprint icon component.
@animate-ui/icons-forklift	ui	Forklift icon component.
@animate-ui/icons-frame	ui	Frame icon component.
@animate-ui/icons-gallery-horizontal	ui	Gallery horizontal icon component.
@animate-ui/icons-gallery-horizontal-end	ui	Gallery horizontal end icon component.
@animate-ui/icons-gallery-vertical	ui	Gallery vertical icon component.
@animate-ui/icons-gallery-vertical-end	ui	Gallery vertical end icon component.
@animate-ui/icons-gauge	ui	Gauge icon component.
@animate-ui/icons-gavel	ui	Gavel icon component.
@animate-ui/icons-hammer	ui	Hammer icon component.
@animate-ui/icons-heart	ui	Heart icon component.
@animate-ui/icons-house-wifi	ui	House wifi icon component.
@animate-ui/icons-icon	ui	Base component to use animated icons.
@animate-ui/icons-kanban	ui	Kanban icon component.
@animate-ui/icons-key	ui	Key icon component.
@animate-ui/icons-layers	ui	Layers icon component.
@animate-ui/icons-layers-2	ui	Layers 2 icon component.
@animate-ui/icons-layout-dashboard	ui	Layout dashboard icon component.
@animate-ui/icons-lightbulb	ui	Lightbulb icon component.
@animate-ui/icons-lightbulb-off	ui	Lightbulb off icon component.
@animate-ui/icons-link	ui	Link icon component.
@animate-ui/icons-link-2	ui	Link 2 icon with connect/unlink animations.
@animate-ui/icons-list	ui	List icon component.
@animate-ui/icons-loader	ui	Loader icon component.
@animate-ui/icons-loader-circle	ui	Loader circle icon component.
@animate-ui/icons-loader-pinwheel	ui	Loader pinwheel icon component.
@animate-ui/icons-lock	ui	Lock icon component.
@animate-ui/icons-lock-keyhole	ui	Lock keyhole icon component.
@animate-ui/icons-lock-keyhole-open	ui	Lock keyhole open icon component.
@animate-ui/icons-lock-open	ui	Lock open icon component.
@animate-ui/icons-log-in	ui	Log in icon component.
@animate-ui/icons-log-out	ui	Log out icon component.
@animate-ui/icons-map-pin	ui	Map pin icon component.
@animate-ui/icons-map-pin-off	ui	Map pin off icon component.
@animate-ui/icons-maximize	ui	Maximize icon component.
@animate-ui/icons-menu	ui	Menu icon component.
@animate-ui/icons-message-circle	ui	Message circle icon component.
@animate-ui/icons-message-circle-code	ui	Message circle code icon component.
@animate-ui/icons-message-circle-dashed	ui	Message circle dashed icon component.
@animate-ui/icons-message-circle-heart	ui	Message circle heart icon component.
@animate-ui/icons-message-circle-more	ui	Message circle more icon component.
@animate-ui/icons-message-circle-off	ui	Message circle off icon component.
@animate-ui/icons-message-circle-plus	ui	Message circle plus icon component.
@animate-ui/icons-message-circle-question	ui	Message circle question icon component.
@animate-ui/icons-message-circle-warning	ui	Message circle warning icon component.
@animate-ui/icons-message-circle-x	ui	Message circle x icon component.
@animate-ui/icons-message-square	ui	Message square icon component.
@animate-ui/icons-message-square-code	ui	Message square code icon component.
@animate-ui/icons-message-square-dashed	ui	Message square dashed icon component.
@animate-ui/icons-message-square-diff	ui	Message square diff icon component.
@animate-ui/icons-message-square-dot	ui	Message square dot icon component.
@animate-ui/icons-message-square-heart	ui	Message square heart icon component.
@animate-ui/icons-message-square-more	ui	Message square more icon component.
@animate-ui/icons-message-square-off	ui	Message square off icon component.
@animate-ui/icons-message-square-plus	ui	Message square plus icon component.
@animate-ui/icons-message-square-quote	ui	Message square quote icon component.
@animate-ui/icons-message-square-share	ui	Message square share icon component.
@animate-ui/icons-message-square-text	ui	Message square text icon component.
@animate-ui/icons-message-square-warning	ui	Message square warning icon component.
@animate-ui/icons-message-square-x	ui	Message square x icon component.
@animate-ui/icons-minimize	ui	Minimize icon component.
@animate-ui/icons-moon	ui	Moon icon component.
@animate-ui/icons-moon-star	ui	Moon star icon component.
@animate-ui/icons-move-down	ui	Move down icon component.
@animate-ui/icons-move-left	ui	Move left icon component.
@animate-ui/icons-move-right	ui	Move right icon component.
@animate-ui/icons-move-up	ui	Move up icon component.
@animate-ui/icons-nfc	ui	Nfc icon component.
@animate-ui/icons-orbit	ui	Orbit icon component.
@animate-ui/icons-paintbrush	ui	Paintbrush icon component.
@animate-ui/icons-panel-bottom	ui	Panel bottom icon component.
@animate-ui/icons-panel-bottom-close	ui	Panel bottom close icon component.
@animate-ui/icons-panel-bottom-open	ui	Panel bottom open icon component.
@animate-ui/icons-panel-left	ui	Panel left icon component.
@animate-ui/icons-panel-left-close	ui	Panel left close icon component.
@animate-ui/icons-panel-left-open	ui	Panel left open icon component.
@animate-ui/icons-panel-right	ui	Panel right icon component.
@animate-ui/icons-panel-right-close	ui	Panel right close icon component.
@animate-ui/icons-panel-right-open	ui	Panel right open icon component.
@animate-ui/icons-panel-top	ui	Panel top icon component.
@animate-ui/icons-panel-top-close	ui	Panel top close icon component.
@animate-ui/icons-panel-top-open	ui	Panel top open icon component.
@animate-ui/icons-paperclip	ui	Paperclip icon component.
@animate-ui/icons-party-popper	ui	Party popper icon component.
@animate-ui/icons-pause	ui	Pause icon component.
@animate-ui/icons-phone-call	ui	Phone call icon with animated waves.
@animate-ui/icons-pickaxe	ui	Pickaxe icon component.
@animate-ui/icons-pin	ui	Pin icon component.
@animate-ui/icons-pin-off	ui	Pin off icon component.
@animate-ui/icons-play	ui	Play icon component.
@animate-ui/icons-plug-zap	ui	Plug Zap icon component.
@animate-ui/icons-plus	ui	Plus icon component.
@animate-ui/icons-radio	ui	Radio icon component.
@animate-ui/icons-radio-tower	ui	Radio tower icon component.
@animate-ui/icons-refresh-ccw	ui	Refresh ccw icon component.
@animate-ui/icons-refresh-ccw-dot	ui	Refresh ccw dot icon component.
@animate-ui/icons-refresh-cw	ui	Refresh cw icon component.
@animate-ui/icons-refresh-cw-off	ui	Refresh cw off icon component.
@animate-ui/icons-rotate-ccw	ui	Rotate ccw icon component.
@animate-ui/icons-rotate-ccw-key	ui	Rotate Ccw Key icon component.
@animate-ui/icons-rotate-cw	ui	Rotate cw icon component.
@animate-ui/icons-route	ui	Route icon component.
@animate-ui/icons-router	ui	Router icon component.
@animate-ui/icons-scissors	ui	Scissors icon component.
@animate-ui/icons-scissors-line-dashed	ui	Scissors line dashed icon component.
@animate-ui/icons-search	ui	Search icon component.
@animate-ui/icons-send	ui	Send icon component.
@animate-ui/icons-send-horizontal	ui	Send horizontal icon component.
@animate-ui/icons-settings	ui	Settings icon component.
@animate-ui/icons-shrink	ui	Shrink icon component.
@animate-ui/icons-signal	ui	Signal icon component.
@animate-ui/icons-signal-high	ui	Signal high icon component.
@animate-ui/icons-signal-low	ui	Signal low icon component.
@animate-ui/icons-signal-medium	ui	Signal medium icon component.
@animate-ui/icons-signal-zero	ui	Signal zero icon component.
@animate-ui/icons-sliders-horizontal	ui	Sliders horizontal icon component.
@animate-ui/icons-sliders-vertical	ui	Sliders vertical icon component.
@animate-ui/icons-sparkle	ui	Sparkle icon component.
@animate-ui/icons-sparkles	ui	Sparkles icon component.
@animate-ui/icons-square-arrow-out-down-left	ui	Square arrow out down left icon component.
@animate-ui/icons-square-arrow-out-down-right	ui	Square arrow out down right icon component.
@animate-ui/icons-square-arrow-out-up-left	ui	Square arrow out up left icon component.
@animate-ui/icons-square-arrow-out-up-right	ui	Square arrow out up right icon component.
@animate-ui/icons-square-dashed-kanban	ui	Square Dashed Kanban icon component.
@animate-ui/icons-square-kanban	ui	Square Kanban icon component.
@animate-ui/icons-square-plus	ui	Square plus icon component.
@animate-ui/icons-square-x	ui	Square x icon component.
@animate-ui/icons-star	ui	Star icon component.
@animate-ui/icons-sun	ui	Sun icon component.
@animate-ui/icons-sun-dim	ui	Sun dim icon component.
@animate-ui/icons-sun-medium	ui	Sun medium icon component.
@animate-ui/icons-sun-moon	ui	Sun moon icon component.
@animate-ui/icons-terminal	ui	Terminal icon component.
@animate-ui/icons-thumbs-down	ui	Thumbs down icon component.
@animate-ui/icons-thumbs-up	ui	Thumbs up icon component.
@animate-ui/icons-timer	ui	Timer icon component.
@animate-ui/icons-timer-off	ui	Timer off icon component.
@animate-ui/icons-toggle-left	ui	Toggle left icon component.
@animate-ui/icons-toggle-right	ui	Toggle right icon component.
@animate-ui/icons-trash	ui	Trash icon component.
@animate-ui/icons-trash-2	ui	Trash 2 icon component.
@animate-ui/icons-unplug	ui	Unplug icon component.
@animate-ui/icons-upload	ui	Upload icon component.
@animate-ui/icons-user	ui	User icon component.
@animate-ui/icons-user-round	ui	User round icon component.
@animate-ui/icons-users	ui	Users icon component.
@animate-ui/icons-users-round	ui	Users round icon component.
@animate-ui/icons-volume-1	ui	Volume 1 icon component.
@animate-ui/icons-volume-2	ui	Volume 2 icon component.
@animate-ui/icons-volume-off	ui	Volume off icon component.
@animate-ui/icons-wifi	ui	Wifi icon component.
@animate-ui/icons-wifi-high	ui	Wifi high icon component.
@animate-ui/icons-wifi-low	ui	Wifi low icon component.
@animate-ui/icons-wifi-zero	ui	Wifi zero icon component.
@animate-ui/icons-x	ui	X icon component.
@animate-ui/index	style	
@animate-ui/lib-get-strict-context	lib	A hook that allows you to create a strict context.
@animate-ui/primitives-animate-avatar-group	ui	An animated avatar group that displays overlapping user images and smoothly shifts each avatar forward on hover to highlight it.
@animate-ui/primitives-animate-code-block	ui	A code block component that animates the code as it is written.
@animate-ui/primitives-animate-cursor	ui	An animated cursor component that allows you to customize both the cursor and cursor follow elements with smooth animations.
@animate-ui/primitives-animate-github-stars	ui	A component that animates a number of stars, smoothly animating number transitions using the SlidingNumber component.
@animate-ui/primitives-animate-motion-grid	ui	A grid that displays animations in a grid.
@animate-ui/primitives-animate-pinned-list	ui	A pin list component that allows you to pin items to the top of the list.
@animate-ui/primitives-animate-scroll-progress	ui	A scroll progress component that allows you to track the progress of a scrollable element.
@animate-ui/primitives-animate-slot	ui	A slot component that allows you to use motion components with any element.
@animate-ui/primitives-animate-spring	ui	A flexible, animated spring component that attaches a draggable element to its origin with a spring line.
@animate-ui/primitives-animate-tabs	ui	A set of layered sections of content—known as tab panels—that are displayed one at a time.
@animate-ui/primitives-animate-tooltip	ui	An animated tooltip that shows contextual info on hover or focus and smoothly glides to the next element without disappearing between transitions.
@animate-ui/primitives-base-accordion	ui	An easily stylable accordion component.
@animate-ui/primitives-base-alert-dialog	ui	A dialog that requires user response to proceed.
@animate-ui/primitives-base-checkbox	ui	An easily stylable checkbox component.
@animate-ui/primitives-base-collapsible	ui	A collapsible panel controlled by a button.
@animate-ui/primitives-base-dialog	ui	A popup that opens on top of the entire page.
@animate-ui/primitives-base-files	ui	A component that allows you to display a list of files and folders.
@animate-ui/primitives-base-menu	ui	A list of actions in a dropdown, enhanced with keyboard navigation.
@animate-ui/primitives-base-popover	ui	An accessible popup anchored to a button.
@animate-ui/primitives-base-preview-card	ui	A popup that appears when a link is hovered, showing a preview for sighted users.
@animate-ui/primitives-base-preview-link-card	ui	Displays a preview image of a link when hovered.
@animate-ui/primitives-base-progress	ui	Displays the status of a task that takes a long time.
@animate-ui/primitives-base-radio	ui	An easily stylable radio button component.
@animate-ui/primitives-base-switch	ui	A control that indicates whether a setting is on or off.
@animate-ui/primitives-base-tabs	ui	A component for toggling between related panels on the same page.
@animate-ui/primitives-base-toggle	ui	A two-state button that can be on or off.
@animate-ui/primitives-base-toggle-group	ui	Provides a shared state to a series of toggle buttons.
@animate-ui/primitives-base-tooltip	ui	A popup that appears when an element is hovered or focused, showing a hint for sighted users.
@animate-ui/primitives-buttons-button	ui	A simple button that animates on hover and tap.
@animate-ui/primitives-buttons-flip	ui	A button that flips between two states on hover.
@animate-ui/primitives-buttons-liquid	ui	A button that fills on hover.
@animate-ui/primitives-buttons-ripple	ui	A button that animates on tap with a ripple effect.
@animate-ui/primitives-effects-auto-height	ui	An effect that automatically adjusts the height of an element based on its content.
@animate-ui/primitives-effects-blur	ui	An effect that allows you to animate elements with a blur effect on first view or load.
@animate-ui/primitives-effects-click	ui	An effect that creates animated effects at the click position, adding interactive feedback to user actions.
@animate-ui/primitives-effects-effect	ui	An effect that allows you to animate elements on first view or load.
@animate-ui/primitives-effects-fade	ui	An effect that allows you to animate elements with a fade effect on first view or load.
@animate-ui/primitives-effects-highlight	ui	A highlight effect that allows you to highlight elements on hover, click or with a controlled value.
@animate-ui/primitives-effects-image-zoom	ui	An effect that allows you to zoom in on an image on hover.
@animate-ui/primitives-effects-magnetic	ui	A magnetic effect that clings to the cursor, creating a magnetic attraction effect.
@animate-ui/primitives-effects-particles	ui	A particles effect that creates a particle system.
@animate-ui/primitives-effects-shine	ui	An animated light sweep effect with configurable timing, colors, and triggers (hover, tap, or continuous).
@animate-ui/primitives-effects-slide	ui	An effect that allows you to animate elements with a slide effect on first view or load.
@animate-ui/primitives-effects-theme-toggler	ui	An effect that allows you to toggle the theme gradually.
@animate-ui/primitives-effects-tilt	ui	An effect that allows you to animate elements with a tilt effect on mouse hover.
@animate-ui/primitives-effects-zoom	ui	An effect that allows you to animate elements with a zoom effect on first view or load.
@animate-ui/primitives-headless-checkbox	ui	Checkboxes provide the same functionality as native HTML checkboxes, without any of the styling, giving you a clean slate to design them however you'd like.
@animate-ui/primitives-headless-dialog	ui	A fully-managed, renderless dialog component jam-packed with accessibility and keyboard features, perfect for building completely custom dialogs and alerts.
@animate-ui/primitives-headless-disclosure	ui	A simple, accessible foundation for building custom UIs that show and hide content, like togglable accordion panels.
@animate-ui/primitives-headless-popover	ui	Popovers are perfect for floating panels with arbitrary content like navigation menus, mobile menus and flyout menus.
@animate-ui/primitives-headless-switch	ui	Switches are a pleasant interface for toggling a value between two states, and offer the same semantics and keyboard navigation as native checkbox elements.
@animate-ui/primitives-headless-tabs	ui	Easily create accessible, fully customizable tab interfaces, with robust focus management and keyboard navigation support.
@animate-ui/primitives-radix-accordion	ui	A vertically stacked set of interactive headings that each reveal an associated section of content.
@animate-ui/primitives-radix-alert-dialog	ui	A modal dialog that interrupts the user with important content and expects a response.
@animate-ui/primitives-radix-checkbox	ui	A control that allows the user to toggle between checked and not checked.
@animate-ui/primitives-radix-collapsible	ui	An interactive component which expands/collapses a panel.
@animate-ui/primitives-radix-dialog	ui	A window overlaid on either the primary window or another dialog window, rendering the content underneath inert.
@animate-ui/primitives-radix-dropdown-menu	ui	Displays a menu to the user — such as a set of actions or functions — triggered by a button.
@animate-ui/primitives-radix-files	ui	A component that allows you to display a list of files and folders.
@animate-ui/primitives-radix-hover-card	ui	For sighted users to preview content available behind a link.
@animate-ui/primitives-radix-popover	ui	Displays rich content in a portal, triggered by a button.
@animate-ui/primitives-radix-preview-link-card	ui	Displays a preview image of a link when hovered.
@animate-ui/primitives-radix-progress	ui	Displays an indicator showing the completion progress of a task, typically displayed as a progress bar.
@animate-ui/primitives-radix-radio-group	ui	A set of checkable buttons—known as radio buttons—where no more than one of the buttons can be checked at a time.
@animate-ui/primitives-radix-sheet	ui	Extends the Dialog component to display content that complements the main content of the screen.
@animate-ui/primitives-radix-switch	ui	A control that allows the user to toggle between checked and not checked.
@animate-ui/primitives-radix-tabs	ui	A set of layered sections of content—known as tab panels—that are displayed one at a time.
@animate-ui/primitives-radix-toggle	ui	A two-state button that can be either on or off.
@animate-ui/primitives-radix-toggle-group	ui	A set of two-state buttons that can be toggled on or off.
@animate-ui/primitives-radix-tooltip	ui	A popup that displays information related to an element when the element receives keyboard focus or the mouse hovers over it.
@animate-ui/primitives-texts-counting-number	ui	A counting number animation.
@animate-ui/primitives-texts-gradient	ui	A gradient text animation.
@animate-ui/primitives-texts-highlight	ui	A highlight text animation.
@animate-ui/primitives-texts-morphing	ui	A text component that smoothly morphs characters to transition between strings.
@animate-ui/primitives-texts-rolling	ui	A rolling text animation.
@animate-ui/primitives-texts-rotating	ui	A rotating text animation.
@animate-ui/primitives-texts-scrolling-number	ui	A scrolling number animation.
@animate-ui/primitives-texts-shimmering	ui	A shimmering text animation.
@animate-ui/primitives-texts-sliding-number	ui	A sliding number animation.
@animate-ui/primitives-texts-splitting	ui	A splitting text animation.
@animate-ui/primitives-texts-typing	ui	A typing text animation.
@magicui/android	ui	A mockup of an Android device.
@magicui/android-demo	example	Example showing a mockup of an Android device.
@magicui/android-demo-2	example	Second example showing a mockup of an Android device.
@magicui/android-demo-3	example	Third example showing a mockup of an Android device.
@magicui/animated-beam	ui	An animated beam of light which travels along a path. Useful for showcasing the integration features of a website.
@magicui/animated-beam-bidirectional	example	Example showing a bidirectional animated beam effect.
@magicui/animated-beam-demo	example	Example showing an animated beam of light effect.
@magicui/animated-beam-multiple-inputs	example	Example showing animated beams with multiple input points.
@magicui/animated-beam-multiple-outputs	example	Example showing animated beams with multiple output points.
@magicui/animated-beam-unidirectional	example	Example showing a unidirectional animated beam effect.
@magicui/animated-circular-progress-bar	ui	Animated Circular Progress Bar is a component that displays a circular gauge with a percentage value.
@magicui/animated-circular-progress-bar-demo	example	Example showing an animated circular progress gauge.
@magicui/animated-gradient-text	ui	An animated gradient background which transitions between colors for text.
@magicui/animated-gradient-text-demo	example	Example showing text with animated gradient backgrounds.
@magicui/animated-gradient-text-demo-2	example	Second example showing text with animated gradient backgrounds.
@magicui/animated-grid-pattern	ui	A animated background grid pattern made with SVGs, fully customizable using Tailwind CSS.
@magicui/animated-grid-pattern-demo	example	Example showing an animated grid pattern background.
@magicui/animated-list	ui	A list that animates each item in sequence with a delay. Used to showcase notifications or events on your landing page.
@magicui/animated-list-demo	example	Example showing a list with sequenced item animations.
@magicui/animated-shiny-text	ui	A light glare effect which pans across text making it appear as if it is shimmering.
@magicui/animated-shiny-text-demo	example	Example showing text with a shimmering light effect.
@magicui/animated-theme-toggler	ui	Theme toggle with View Transitions and animated clip-path masks (circle, polygons, star), optional viewport-centered origin.
@magicui/animated-theme-toggler-demo	example	Example showing animation while changing the theme.
@magicui/animated-theme-toggler-diamond-demo	example	Theme transition with a diamond-shaped clip reveal.
@magicui/animated-theme-toggler-hexagon-demo	example	Theme transition with a hexagon clip reveal.
@magicui/animated-theme-toggler-next-themes-demo	example	Controlled usage with next-themes so useTheme() subscribers stay in sync on toggle.
@magicui/animated-theme-toggler-rectangle-demo	example	Theme transition with a rectangle clip reveal.
@magicui/animated-theme-toggler-square-demo	example	Theme transition with a square clip reveal.
@magicui/animated-theme-toggler-star-demo	example	Theme transition with a star-shaped clip reveal.
@magicui/animated-theme-toggler-triangle-demo	example	Theme transition with a triangle clip reveal.
@magicui/aurora-text	ui	A beautiful aurora text effect
@magicui/aurora-text-demo	example	Example showing a beautiful aurora text effect.
@magicui/avatar-circles	ui	Overlapping circles of avatars.
@magicui/avatar-circles-demo	example	Example showing overlapping avatar circles.
@magicui/backlight	ui	A backlight glow effect for videos, images, and SVGs.
@magicui/backlight-image-demo	example	An example of the backlight component with a image.
@magicui/backlight-svg-demo	example	An example of the backlight component with SVGs.
@magicui/backlight-video-demo	example	An example of the backlight component with a video.
@magicui/bento-demo	example	Example showing a bento grid layout for showcasing features.
@magicui/bento-demo-vertical	example	Example showing a vertical bento grid layout.
@magicui/bento-grid	ui	Bento grid is a layout used to showcase the features of a product in a simple and elegant way.
@magicui/blur-fade	ui	Blur fade in and out animation. Used to smoothly fade in and out content.
@magicui/blur-fade-demo	example	Example showing blur fade in and out animations.
@magicui/blur-fade-text-demo	example	Example showing blur fade animations with text.
@magicui/border-beam	ui	An animated beam of light which travels along the border of its container.
@magicui/border-beam-demo	example	Example showing an animated border beam effect.
@magicui/border-beam-demo-2	example	Example showing an animated border beam effect.
@magicui/border-beam-demo-3	example	Example showing an animated border beam effect.
@magicui/border-beam-demo-4	example	Example showing an animated border beam effect.
@magicui/client-tweet-card	ui	A client-side version of the tweet card that displays a tweet with the author's name, handle, and profile picture.
@magicui/code-comparison	ui	A component which compares two code snippets.
@magicui/code-comparison-demo	example	Example showing a component which compares two code snippets.
@magicui/comic-text	ui	Comic text animation
@magicui/comic-text-demo	example	Example showing comic text animation.
@magicui/confetti	ui	Confetti animations are best used to delight your users when something special happens
@magicui/confetti-basic-cannon	example	Example showing basic confetti cannon animation.
@magicui/confetti-custom-shapes	example	Example showing confetti with custom shape particles.
@magicui/confetti-demo	example	Example showing confetti animations for celebrations.
@magicui/confetti-emoji	example	Example showing confetti with emoji particles.
@magicui/confetti-fireworks	example	Example showing fireworks-style confetti animation.
@magicui/confetti-random-direction	example	Example showing confetti with random directions.
@magicui/confetti-side-cannons	example	Example showing side-mounted confetti cannons.
@magicui/confetti-stars	example	Example showing star-shaped confetti animation.
@magicui/cool-mode	ui	Cool mode effect for buttons, links, and other DOMs
@magicui/cool-mode-custom	example	Example showing customized cool mode effects.
@magicui/cool-mode-demo	example	Example showing cool mode effect for buttons and links.
@magicui/dia-text-reveal	ui	A horizontal color band sweeps across text, revealing a gradient shine before settling on the base color.
@magicui/dia-text-reveal-demo	example	Example showing a sweeping color band reveal on headline text.
@magicui/dia-text-reveal-demo-2	example	Custom gradient colors and settled text color on a light background.
@magicui/dia-text-reveal-demo-3	example	Rotating phrases with repeat and repeat delay.
@magicui/dia-text-reveal-demo-4	example	Slower sweep with delay — custom duration and timing.
@magicui/dock	ui	An implementation of the MacOS dock using react + tailwindcss + motion
@magicui/dock-demo	example	Example showing a MacOS-style dock implementation.
@magicui/dock-demo-2	example	Second example showing a MacOS-style dock implementation.
@magicui/dock-demo-3	example	Third example showing a MacOS-style dock implementation.
@magicui/dot-pattern	ui	A background dot pattern made with SVGs, fully customizable using Tailwind CSS.
@magicui/dot-pattern-demo	example	Example showing a background dot pattern made with SVGs.
@magicui/dot-pattern-linear-gradient	example	Example showing a dot pattern with linear gradient effects.
@magicui/dot-pattern-with-glow-effect	example	Example showing a dot pattern with glow effect
@magicui/dotted-map	ui	A component with a dotted map.
@magicui/dotted-map-demo	example	Example showing a dotted map.
@magicui/dotted-map-demo-2	example	Example showing a dotted map.
@magicui/dotted-map-demo-3	example	Example showing a dotted map with pulse animation.
@magicui/file-tree	ui	A component used to showcase the folder and file structure of a directory.
@magicui/file-tree-demo	example	Example showing a component that displays folder and file structure.
@magicui/flickering-grid	ui	A flickering grid background made with SVGs, fully customizable using Tailwind CSS.
@magicui/flickering-grid-demo	example	Example showing a flickering grid background.
@magicui/flickering-grid-rounded-demo	example	Example showing a flickering grid background with rounded corners.
@magicui/glare-hover	ui	A diagonal glare on hover using a ::before gradient and CSS variables (angle, size, duration, color).
@magicui/glare-hover-demo	example	Pricing card with diagonal hover glare (duration 600ms).
@magicui/glare-hover-demo-alert	example	Three alerts with custom glare colors and opacity.
@magicui/glare-hover-demo-cta	example	CTA card with hover glare (700ms).
@magicui/globe	ui	An autorotating, interactive, and highly performant globe made using WebGL.
@magicui/globe-demo	example	Example showing an autorotating, interactive WebGL globe.
@magicui/glyph-matrix	ui	An animated grid of subtly shifting glyphs with fade effect and theme support.
@magicui/glyph-matrix-demo	example	Example showing an animated grid of subtly shifting glyphs.
@magicui/grid-pattern	ui	A background grid pattern made with SVGs, fully customizable using Tailwind CSS.
@magicui/grid-pattern-dashed	example	Example showing a dashed grid pattern.
@magicui/grid-pattern-demo	example	Example showing a background grid pattern made with SVGs.
@magicui/grid-pattern-linear-gradient	example	Example showing a grid pattern with linear gradient effects.
@magicui/hero-video-dialog	ui	A hero video dialog component.
@magicui/hero-video-dialog-demo	example	Example showing a hero video dialog component.
@magicui/hero-video-dialog-demo-top-in-bottom-out	example	Example showing a hero video dialog with top-in bottom-out animation.
@magicui/hexagon-pattern	ui	A background hexagon pattern made with SVGs, fully customizable using Tailwind CSS.
@magicui/hexagon-pattern-dashed	example	Example showing a dashed hexagon pattern.
@magicui/hexagon-pattern-demo	example	Example showing a background hexagon pattern made with SVGs.
@magicui/hexagon-pattern-linear-gradient	example	Example showing a hexagon pattern with linear gradient effects.
@magicui/hexagon-pattern-spacing	example	Example showing a hexagon pattern with extra spacing between cells.
